2019-06-14 11:32:16 [root] [INFO] :20: 访问网址：http://101.200.149.181:8888/login/?next=/
2019-06-14 11:32:16 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-username
2019-06-14 11:32:16 [root] [INFO] :20: 元素:('id', 'login-username'),输入文本：meijin.hou
2019-06-14 11:32:16 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-password
2019-06-14 11:32:16 [root] [INFO] :20: 元素:('id', 'login-password'),输入文本：CA888888
2019-06-14 11:32:16 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-code
2019-06-14 11:32:16 [root] [INFO] :20: 点击元素:('id', 'login-code')
2019-06-14 11:32:16 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-verification-code
2019-06-14 11:32:16 [root] [INFO] :20: 元素:('id', 'login-verification-code'),输入文本：123456
2019-06-14 11:32:16 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-password
2019-06-14 11:32:16 [root] [INFO] :20: 点击元素:('id', 'login-password')
2019-06-14 11:32:16 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-submit
2019-06-14 11:32:17 [root] [INFO] :20: 点击元素:('id', 'login-submit')
2019-06-14 11:32:17 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->mb_marketing
2019-06-14 11:32:17 [root] [INFO] :20: 点击元素:('id', 'mb_marketing')
2019-06-14 11:32:19 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->/html/body/div/aside/section/ul/li[6]/ul/li[2]/a
2019-06-14 11:32:19 [root] [INFO] :20: 点击元素:('xpath', '/html/body/div/aside/section/ul/li[6]/ul/li[2]/a')
2019-06-14 11:32:19 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->/html/body/div/div[1]/section[2]/div/div/div/div/div/a
2019-06-14 11:32:20 [root] [INFO] :20: 点击元素:('xpath', '/html/body/div/div[1]/section[2]/div/div/div/div/div/a')
2019-06-14 11:32:20 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->id_title
2019-06-14 11:32:20 [root] [INFO] :20: 元素:('id', 'id_title'),输入文本：标题标题标题
2019-06-14 11:32:20 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->id_content
2019-06-14 11:32:20 [root] [INFO] :20: 元素:('id', 'id_content'),输入文本：内容内容尼尔内容
2019-06-14 11:32:20 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->id_display_start_date
2019-06-14 11:32:20 [root] [INFO] :20: 点击元素:('id', 'id_display_start_date')
2019-06-14 11:32:20 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->//*[@id="ui-datepicker-div"]/div[3]/button[1]
2019-06-14 11:32:20 [root] [INFO] :20: 点击元素:('xpath', '//*[@id="ui-datepicker-div"]/div[3]/button[1]')
2019-06-14 11:32:20 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->id_display_end_date
2019-06-14 11:32:20 [root] [INFO] :20: 点击元素:('id', 'id_display_end_date')
2019-06-14 11:32:20 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->//*[@id="ui-datepicker-div"]/div[3]/button[1]
2019-06-14 11:32:20 [root] [INFO] :20: 点击元素:('xpath', '//*[@id="ui-datepicker-div"]/div[3]/button[1]')
2019-06-14 11:32:20 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->/html/body/div[1]/div[1]/section[2]/div/div/div/div/div/form/button
2019-06-14 11:32:21 [root] [INFO] :20: 点击元素:('xpath', '/html/body/div[1]/div[1]/section[2]/div/div/div/div/div/form/button')
2019-06-14 11:32:23 [root] [INFO] :20: 元素：('xpath', '//*[@id="notification_list"]/tbody/tr[1]/td[2]')，获取文本
2019-06-14 11:32:23 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->//*[@id="notification_list"]/tbody/tr[1]/td[2]
2019-06-14 11:32:23 [root] [INFO] :20: 获取到文本：标题标题标题
2019-06-14 11:32:25 [root] [INFO] :20: 访问网址：http://101.200.149.181:8888/login/?next=/
2019-06-14 11:32:25 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-username
2019-06-14 11:32:25 [root] [INFO] :20: 元素:('id', 'login-username'),输入文本：meijin.hou
2019-06-14 11:32:25 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-password
